--------------------------------------------
 Valeur portefeuille |     Valeur option    
     139.331      |        139.422      
     139.689      |        139.818      
     141.589      |        141.781      
     141.627      |        141.829      
     142.054      |        141.841      
     142.887      |        142.705      
     143.805      |        143.668      
     143.715      |        143.611      
     144.423      |        144.351      
     145.503      |        145.469      
     146.412      |        146.426      
     145.979      |        146.042      
     146.95      |        147.051      
     148.839      |        148.984      
     149.221      |        149.42      
     148.527      |        148.772      
     149.235      |        148.975      
     149.633      |        149.416      
     149.896      |        149.727      
     149.977      |        149.841      
     151.288      |        151.199      
     151.672      |        151.632      
     151.823      |        151.823      
     152.185      |        152.229      
     152.095      |        152.195      
     152.296      |        152.434      
     152.854      |        153.037      
     153.412      |        153.645      
     154.038      |        153.76      
     154.576      |        154.343      
     154.687      |        154.497      
     155.245      |        155.1      
     155.58      |        155.478      
     156.194      |        156.137      
     156.844      |        156.833      
     157.415      |        157.449      
     158.026      |        158.107      
     158.751      |        158.88      
     158.988      |        159.164      
     159.493      |        159.716      
 le P&L du portefeuille de couverture est : -0.223506
--------------------------------------------
 Valeur portefeuille |     Valeur option    
--------------------------------------------
     91.2752              |           91.2752      
     90.8579      |        90.7082      
     90.6875      |        90.5291      
     91.1532      |        90.9724      
     91.393      |        91.2188      
     90.3713      |        90.3407      
     91.1952      |        91.2386      
     91.4944      |        91.4945      
     91.7544      |        91.8038      
     92.822      |        92.8518      
     93.03      |        93.0449      
     93.9283      |        93.9858      
     94.5803      |        94.654      
     96.6798      |        96.8358      
     96.7198      |        96.9958      
     96.2511      |        96.4329      
     96.3029      |        96.4851      
     96.9952      |        97.1448      
     96.3884      |        96.6362      
     98.4145      |        98.7032      
     99.0498      |        99.2913      
     98.6146      |        98.9554      
     100.246      |        100.594      
     100.508      |        100.832      
     100.811      |        101.138      
     101.39      |        101.534      
     101.374      |        101.459      
     100.789      |        100.861      
     100.534      |        100.676      
     100.741      |        100.882      
     100.625      |        100.712      
     99.8989      |        100.029      
     99.4263      |        99.5445      
     99.5321      |        99.6917      
     98.6691      |        98.8071      
     99.4197      |        99.5545      
     99.6913      |        99.8371      
     99.5518      |        99.7126      
     100.321      |        100.499      
     99.4398      |        99.634      
     100.077      |        100.257      
     100.475      |        100.693      
     99.3495      |        99.6759      
     99.7287      |        99.9972      
     100.235      |        100.458      
     98.85      |        99.1873      
     99.3414      |        99.7158      
     99.9366      |        100.305      
     99.4333      |        99.8067      
     100.132      |        100.268      
     101.198      |        101.34      
     101.368      |        101.55      
     101.534      |        101.696      
     100.832      |        101.036      
     100.045      |        100.257      
     100.102      |        100.309      
     100.006      |        100.249      
     99.6902      |        99.893      
     99.674      |        99.9042      
     99.92      |        100.105      
     99.2465      |        99.4671      
     99.7004      |        99.9249      
     100.229      |        100.468      
     100.621      |        100.872      
     100.407      |        100.639      
     100.369      |        100.627      
     100.367      |        100.539      
     100.625      |        100.818      
     100.57      |        100.818      
     101.071      |        101.282      
     102.002      |        102.235      
     101.961      |        102.248      
     101.615      |        101.871      
     101.515      |        101.6      
     102.096      |        102.153      
     102.733      |        102.861      
     103.249      |        103.307      
     103.321      |        103.428      
     103.632      |        103.764      
     102.949      |        103.087      
     103.344      |        103.446      
     104.624      |        104.799      
     104.661      |        104.805      
     105.573      |        105.796      
     105.824      |        106.011      
     106.375      |        106.617      
     105.358      |        105.636      
     105.444      |        105.731      
     105.566      |        105.859      
     106.178      |        106.468      
     106.066      |        106.337      
     106.034      |        106.316      
     106.392      |        106.716      
     106.441      |        106.687      
     107.606      |        107.974      
     107.912      |        108.252      
     107.424      |        107.766      
     107.72      |        107.785      
     107.756      |        107.784      
     107.572      |        107.603      
     107.648      |        107.664      
     107.994      |        108.009      
     108.152      |        108.138      
     107.91      |        107.974      
     108.516      |        108.56      
     109.434      |        109.487      
     110.169      |        110.223      
     110.053      |        110.101      
     109.836      |        109.939      
     110.08      |        110.203      
     110.676      |        110.811      
     110.501      |        110.646      
     110.93      |        111.04      
     111.579      |        111.688      
     110.511      |        110.661      
     111.717      |        111.989      
     110.452      |        110.769      
     110.527      |        110.797      
     110.375      |        110.655      
     110.574      |        110.866      
     110.884      |        111.158      
     111.071      |        111.037      
     111.236      |        111.258      
     110.501      |        110.538      
     110.618      |        110.652      
     110.26      |        110.3      
     110.605      |        110.638      
     110.597      |        110.658      
     110.633      |        110.696      
     110.734      |        110.776      
     111.387      |        111.474      
     111.595      |        111.681      
     112.197      |        112.284      
     111.914      |        112.027      
     111.588      |        111.712      
     112.075      |        112.212      
     112.616      |        112.766      
     112.674      |        112.808      
     112.23      |        112.411      
     112.418      |        112.603      
     112.32      |        112.511      
     112.109      |        112.318      
     112.316      |        112.529      
     112.249      |        112.468      
     112.399      |        112.617      
     112.632      |        112.703      
     112.791      |        112.828      
     113.022      |        113.051      
     113.374      |        113.426      
     113.579      |        113.622      
     113.791      |        113.828      
     114.552      |        114.735      
     114.883      |        115.069      
     114.653      |        114.842      
     115.073      |        115.278      
     115.65      |        115.903      
     116.432      |        116.74      
     116.342      |        116.645      
     116.363      |        116.651      
     116.648      |        116.964      
     116.96      |        117.24      
     117.613      |        117.929      
     117.702      |        118.02      
     117.951      |        118.256      
     118.402      |        118.696      
     118.462      |        118.747      
     118.673      |        118.958      
     119.421      |        119.775      
     119.95      |        120.278      
     120.089      |        120.039      
     120.81      |        120.775      
     121.631      |        121.587      
     122.438      |        122.439      
     122.345      |        122.4      
     123.191      |        123.231      
     124.048      |        124.152      
     124.377      |        124.458      
     124.008      |        124.079      
     123.429      |        123.559      
     123.65      |        123.779      
     123.591      |        123.741      
     123.893      |        124.086      
     123.828      |        124.02      
     123.48      |        123.66      
     124.155      |        124.361      
     124.704      |        124.925      
     124.528      |        124.77      
     124.925      |        125.171      
     125.292      |        125.529      
     124.768      |        125.027      
     124.734      |        125.013      
     125.403      |        125.733      
     126.511      |        126.849      
     127.253      |        127.164      
     127.81      |        127.734      
     128.442      |        128.39      
     128.463      |        128.411      
     128.153      |        128.137      
     128.136      |        128.133      
     128.619      |        128.636      
     128.865      |        128.877      
     128.895      |        128.957      
     130.124      |        130.211      
     129.993      |        130.082      
     130.154      |        130.262      
     130.08      |        130.222      
     130.592      |        130.759      
     131.178      |        131.361      
     131.822      |        132.022      
     132.181      |        132.389      
     132.175      |        132.404      
     132.452      |        132.716      
     133.914      |        134.177      
     134.266      |        134.536      
     133.988      |        134.307      
     133.967      |        134.317      
     134.263      |        134.629      
     134.17      |        134.058      
     134.454      |        134.367      
     134.783      |        134.709      
     134.87      |        134.801      
     134.883      |        134.839      
     134.913      |        134.899      
     134.79      |        134.783      
     134.235      |        134.264      
     134.829      |        134.888      
     134.347      |        134.402      
     135.057      |        135.14      
     135.597      |        135.702      
     136.614      |        136.731      
     137.539      |        137.676      
     138.347      |        138.515      
     138.779      |        138.959      
     138.474      |        138.694      
     138.404      |        138.642      
     138.767      |        139.032      
     138.946      |        139.239      
     139.574      |        139.869      
     139.381      |        139.72      
     139.312      |        139.645      
     139.639      |        140.004      
     139.889      |        139.736      
     140.089      |        139.96      
     140.297      |        140.184      
     140.683      |        140.594      
     141.103      |        141.036      
     141.933      |        141.893      
     141.843      |        141.829      
     142.134      |        142.138      
     142.543      |        142.572      
     142.868      |        142.923      
     143.184      |        143.266      
     143.286      |        143.392      
     143.35      |        143.478      
     143.495      |        143.65      
     143.745      |        143.918      
     144.167      |        144.37      
     144.21      |        144.437      
     144.43      |        144.675      
     144.926      |        145.199      
     145.271      |        145.565      
     145.408      |        145.725      
     146.104      |        146.458      
     146.489      |        146.857      
     146.727      |        147.126      
     147.071      |        146.873      
     147.429      |        147.256      
     147.708      |        147.562      
     147.942      |        147.821      
     148.475      |        148.381      
     148.672      |        148.603      
     148.934      |        148.892      
     148.972      |        148.956      
     149.426      |        149.437      
     149.588      |        149.625      
     149.836      |        149.9      
     149.929      |        150.02      
     150.262      |        150.38      
     150.426      |        150.571      
     150.961      |        151.133      
     151.19      |        151.39      
     151.574      |        151.801      
     152.188      |        152.444      
     152.645      |        152.93      
     152.668      |        152.982      
     152.83      |        153.173      
     153.249      |        153.621      
     153.495      |        153.897      
     153.881      |        154.312      
 le P&L du portefeuille de couverture est : -0.431095
--------------------------------------------
 Valeur portefeuille |     Valeur option    
--------------------------------------------
